state_name,mmr_rate,year
INDIANA,89.2,1999
IOWA,90.5,1999
KANSAS,89.5,1999
KENTUCKY,93.6,1999
LOUISIANA,88.1,1999
MAINE,91.2,1999
MARYLAND,95.7,1999
MASSACHUSETTS,93.7,1999
MICHIGAN,88.4,1999
MINNESOTA,94.7,1999
MISSISSIPPI,93.2,1999
MISSOURI,87.5,1999
MONTANA,91.6,1999
NEBRASKA,91,1999
NEVADA,89.3,1999
NEW HAMPSHIRE,91.6,1999
NEW JERSEY,94.1,1999
NEW MEXICO,86.9,1999
NEW YORK,95.1,1999
NORTH CAROLINA,93.1,1999
NORTH DAKOTA,91.2,1999
OHIO,89.4,1999
OKLAHOMA,89.8,1999
OREGON,85.6,1999
PENNSYLVANIA,93.9,1999
RHODE ISLAND,95.5,1999
SOUTH CAROLINA,92.4,1999
SOUTH DAKOTA,91.9,1999
TENNESSEE,89.4,1999
TEXAS,86.6,1999
UTAH,91.6,1999
VERMONT,98.6,1999
VIRGINIA,87.1,1999
WASHINGTON,89.1,1999
WEST VIRGINIA,93.5,1999
WISCONSIN,94.1,1999
WYOMING,92.9,1999
ALABAMA,86.8,2000
ALASKA,87.9,2000
ARIZONA,88.1,2000
ARKANSAS,88,2000
CALIFORNIA,89.4,2000
COLORADO,86.4,2000
CONNECTICUT,96.1,2000
DELAWARE,90.1,2000
DISTRICT OF COLUMBIA,85.1,2000
FLORIDA,89,2000
GEORGIA,90.9,2000
HAWAII,93.7,2000
IDAHO,87.5,2000
ILLINOIS,91.4,2000
INDIANA,86.4,2000
IOWA,91.8,2000
KANSAS,84.7,2000
KENTUCKY,88.1,2000
LOUISIANA,88.8,2000
MAINE,93.3,2000
MARYLAND,91.6,2000
MASSACHUSETTS,95.2,2000
MICHIGAN,89,2000
MINNESOTA,92.6,2000
MISSISSIPPI,91,2000
MISSOURI,92.3,2000
MONTANA,87.4,2000
NEBRASKA,91.4,2000
NEVADA,87.3,2000
NEW HAMPSHIRE,95,2000
NEW JERSEY,88.2,2000
NEW MEXICO,81.4,2000
NEW YORK,93.8,2000
NORTH CAROLINA,95.6,2000
NORTH DAKOTA,91.5,2000
OHIO,89.2,2000
OKLAHOMA,89.3,2000
OREGON,90.3,2000
PENNSYLVANIA,92,2000
RHODE ISLAND,93.2,2000
SOUTH CAROLINA,92.7,2000
SOUTH DAKOTA,90.9,2000
TENNESSEE,90.8,2000
TEXAS,86.2,2000
UTAH,87.7,2000
VERMONT,92.3,2000
VIRGINIA,91,2000
WASHINGTON,89.3,2000
WEST VIRGINIA,92.6,2000
WISCONSIN,91.3,2000
WYOMING,89.8,2000
ALABAMA,94.3,2001
ALASKA,87.8,2001
ARIZONA,88.8,2001
ARKANSAS,89.1,2001
CALIFORNIA,90.8,2001
COLORADO,91.3,2001
CONNECTICUT,93.8,2001
DELAWARE,93.4,2001
DISTRICT OF COLUMBIA,92.6,2001
FLORIDA,91.1,2001
GEORGIA,91,2001
HAWAII,90.8,2001
IDAHO,87.1,2001
ILLINOIS,89.3,2001
INDIANA,91.3,2001
IOWA,89.5,2001
KANSAS,91.8,2001
KENTUCKY,91.5,2001
LOUISIANA,83.5,2001
MAINE,93.2,2001
MARYLAND,92.8,2001
MASSACHUSETTS,91.7,2001
MICHIGAN,87.6,2001
MINNESOTA,91.3,2001
MISSISSIPPI,93.5,2001
MISSOURI,90,2001
MONTANA,94.1,2001
NEBRASKA,90.9,2001
NEVADA,86.9,2001
NEW HAMPSHIRE,92.9,2001
NEW JERSEY,91,2001
NEW MEXICO,87.1,2001
NEW YORK,92.3,2001
NORTH CAROLINA,96,2001
NORTH DAKOTA,92.3,2001
OHIO,91.6,2001
OKLAHOMA,92.9,2001
OREGON,88.4,2001
PENNSYLVANIA,95.3,2001
RHODE ISLAND,95.2,2001
SOUTH CAROLINA,95.4,2001
SOUTH DAKOTA,93,2001
TENNESSEE,94.2,2001
TEXAS,90.1,2001
UTAH,89.2,2001
VERMONT,95.2,2001
VIRGINIA,90.7,2001
WASHINGTON,87.8,2001
WEST VIRGINIA,93.4,2001
WISCONSIN,91.4,2001
WYOMING,89,2001
ALABAMA,91.6,2002
ALASKA,88.7,2002
ARIZONA,88.9,2002
ARKANSAS,92.8,2002
CALIFORNIA,90.4,2002
COLORADO,90.7,2002
CONNECTICUT,95.3,2002
DELAWARE,95.2,2002
DISTRICT OF COLUMBIA,91.2,2002
FLORIDA,91.1,2002
GEORGIA,93,2002
HAWAII,96.4,2002
IDAHO,86.9,2002
ILLINOIS,94.4,2002
INDIANA,91.1,2002
IOWA,92.3,2002
KANSAS,93.9,2002
KENTUCKY,88,2002
LOUISIANA,87.4,2002
MAINE,92.3,2002
MARYLAND,95.4,2002
MASSACHUSETTS,95.5,2002
MICHIGAN,93.3,2002
MINNESOTA,92.2,2002
MISSISSIPPI,91.1,2002
MISSOURI,94.8,2002
MONTANA,85.3,2002
NEBRASKA,93.2,2002
NEVADA,89.4,2002
NEW HAMPSHIRE,93.9,2002
NEW JERSEY,92.8,2002
NEW MEXICO,92.5,2002
NEW YORK,94.4,2002
NORTH CAROLINA,94.9,2002
NORTH DAKOTA,90.7,2002
OHIO,91.3,2002
OKLAHOMA,86.4,2002
OREGON,86.6,2002
PENNSYLVANIA,92.2,2002
RHODE ISLAND,96,2002
SOUTH CAROLINA,92.6,2002
SOUTH DAKOTA,95.5,2002
TENNESSEE,92.5,2002
TEXAS,87.7,2002
UTAH,94,2002
VERMONT,94.7,2002
VIRGINIA,90.3,2002
WASHINGTON,89.6,2002
WEST VIRGINIA,93.6,2002
WISCONSIN,92.9,2002
WYOMING,89.7,2002
ALABAMA,91.2,2003
ALASKA,90.7,2003
ARIZONA,91.5,2003
ARKANSAS,90.6,2003
CALIFORNIA,92.8,2003
COLORADO,85.6,2003
CONNECTICUT,98.4,2003
DELAWARE,93,2003
DISTRICT OF COLUMBIA,92.8,2003
FLORIDA,95.2,2003
GEORGIA,90.7,2003
HAWAII,93.6,2003
IDAHO,92.9,2003
ILLINOIS,93.6,2003
INDIANA,92.5,2003
IOWA,91.1,2003
KANSAS,89.4,2003
KENTUCKY,95.5,2003
LOUISIANA,88.4,2003
MAINE,94.1,2003
MARYLAND,93.7,2003
MASSACHUSETTS,97.7,2003
MICHIGAN,92.5,2003
MINNESOTA,92.6,2003
MISSISSIPPI,94.7,2003
MISSOURI,94.5,2003
MONTANA,90.7,2003
NEBRASKA,91,2003
NEVADA,89.2,2003
NEW HAMPSHIRE,94.6,2003
NEW JERSEY,93.5,2003
NEW MEXICO,93.9,2003
NEW YORK,95.1,2003
NORTH CAROLINA,95.7,2003
NORTH DAKOTA,90.9,2003
OHIO,95.6,2003
OKLAHOMA,88,2003
OREGON,92.4,2003
PENNSYLVANIA,94.1,2003
RHODE ISLAND,93.6,2003
SOUTH CAROLINA,91.6,2003
SOUTH DAKOTA,91.3,2003
TENNESSEE,94.6,2003
TEXAS,91.4,2003
UTAH,88.6,2003
VERMONT,96.4,2003
VIRGINIA,92.9,2003
WASHINGTON,93.5,2003
WEST VIRGINIA,88.7,2003
WISCONSIN,94.2,2003
WYOMING,90.8,2003
ALABAMA,91.8,2004
ALASKA,89.7,2004
ARIZONA,92.9,2004
ARKANSAS,94.6,2004
CALIFORNIA,93.1,2004
COLORADO,90.8,2004
CONNECTICUT,95,2004
DELAWARE,94.5,2004
DISTRICT OF COLUMBIA,94.6,2004
FLORIDA,95.4,2004
GEORGIA,91.9,2004
HAWAII,94.7,2004
IDAHO,91.7,2004
ILLINOIS,95,2004
INDIANA,91.5,2004
IOWA,92.9,2004
KANSAS,92.3,2004
KENTUCKY,91,2004
LOUISIANA,88.7,2004
MAINE,91.7,2004
MARYLAND,94.8,2004
MASSACHUSETTS,96,2004
MICHIGAN,91.8,2004
MINNESOTA,91.7,2004
MISSISSIPPI,94.4,2004
MISSOURI,93.8,2004
MONTANA,91.2,2004
NEBRASKA,92.7,2004
NEVADA,87.4,2004
NEW HAMPSHIRE,93.5,2004
NEW JERSEY,94.6,2004
NEW MEXICO,89.9,2004
NEW YORK,95.5,2004
NORTH CAROLINA,95.6,2004
NORTH DAKOTA,92.6,2004
OHIO,93.1,2004
OKLAHOMA,90.6,2004
OREGON,93.7,2004
PENNSYLVANIA,95,2004
RHODE ISLAND,95.6,2004
SOUTH CAROLINA,92,2004
SOUTH DAKOTA,93.7,2004
TENNESSEE,91.3,2004
TEXAS,89.2,2004
UTAH,89.8,2004
VERMONT,94.4,2004
VIRGINIA,96.6,2004
WASHINGTON,92.3,2004
WEST VIRGINIA,94.6,2004
WISCONSIN,93.6,2004
WYOMING,92.7,2004
ALABAMA,94.1,2005
ALASKA,90.8,2005
ARIZONA,88.8,2005
ARKANSAS,89,2005
CALIFORNIA,91.6,2005
COLORADO,93.2,2005
CONNECTICUT,95.2,2005
DELAWARE,95.2,2005
DISTRICT OF COLUMBIA,91.6,2005
FLORIDA,92,2005
GEORGIA,92.9,2005
HAWAII,89.7,2005
IDAHO,86.5,2005
ILLINOIS,93,2005
INDIANA,91.2,2005
IOWA,91.7,2005
KANSAS,92.7,2005
KENTUCKY,90.2,2005
LOUISIANA,89.2,2005
MAINE,92.2,2005
MARYLAND,93.6,2005
MASSACHUSETTS,97,2005
MICHIGAN,93.7,2005
MINNESOTA,91.4,2005
MISSISSIPPI,91,2005
MISSOURI,90.3,2005
MONTANA,93.6,2005
NEBRASKA,94.8,2005
NEVADA,85.7,2005
NEW HAMPSHIRE,88.3,2005
NEW JERSEY,85.3,2005
NEW MEXICO,91.2,2005
NEW YORK,92.9,2005
NORTH CAROLINA,94.4,2005
NORTH DAKOTA,92.3,2005
OHIO,93.1,2005
OKLAHOMA,89.8,2005
OREGON,82.7,2005
PENNSYLVANIA,93.6,2005
RHODE ISLAND,95.2,2005
SOUTH CAROLINA,87.3,2005
SOUTH DAKOTA,94.4,2005
TENNESSEE,92,2005
TEXAS,89.1,2005
UTAH,89,2005
VERMONT,92.6,2005
VIRGINIA,93.3,2005
WASHINGTON,90.6,2005
WEST VIRGINIA,85.7,2005
WISCONSIN,91.6,2005
WYOMING,89.4,2005
ALABAMA,94,2006
ALASKA,85.7,2006
ARIZONA,87.7,2006
ARKANSAS,85.8,2006
CALIFORNIA,92.8,2006
COLORADO,88.3,2006
CONNECTICUT,96.5,2006
DELAWARE,96.4,2006
DISTRICT OF COLUMBIA,92.2,2006
FLORIDA,91.2,2006
GEORGIA,91,2006
HAWAII,89.9,2006
IDAHO,88,2006
ILLINOIS,89.2,2006
INDIANA,89.6,2006
IOWA,90.3,2006
KANSAS,92.7,2006
KENTUCKY,92.5,2006
LOUISIANA,88.9,2006
MAINE,92.2,2006
MARYLAND,96.3,2006
MASSACHUSETTS,96.6,2006
MICHIGAN,92.2,2006
MINNESOTA,92.3,2006
MISSISSIPPI,88.5,2006
MISSOURI,95.7,2006
MONTANA,87.3,2006
NEBRASKA,91.4,2006
NEVADA,85.1,2006
NEW HAMPSHIRE,92.9,2006
NEW JERSEY,91.2,2006
NEW MEXICO,89.1,2006
NEW YORK,95.9,2006
NORTH CAROLINA,97.6,2006
NORTH DAKOTA,91.7,2006
OHIO,93.5,2006
OKLAHOMA,94.1,2006
OREGON,88.7,2006
PENNSYLVANIA,94,2006
RHODE ISLAND,96.1,2006
SOUTH CAROLINA,93.9,2006
SOUTH DAKOTA,94.3,2006
TENNESSEE,93,2006
TEXAS,92.1,2006
UTAH,92.4,2006
VERMONT,95.1,2006
VIRGINIA,93.6,2006
WASHINGTON,87.5,2006
WEST VIRGINIA,91.1,2006
WISCONSIN,94,2006
WYOMING,87.7,2006
ALABAMA,95,2007
ALASKA,89.7,2007
ARIZONA,89,2007
ARKANSAS,92.5,2007
CALIFORNIA,94.6,2007
COLORADO,91.2,2007
CONNECTICUT,95.3,2007
DELAWARE,94.8,2007
DISTRICT OF COLUMBIA,95.2,2007
FLORIDA,92.3,2007
GEORGIA,91.4,2007
HAWAII,93.8,2007
IDAHO,86.1,2007
ILLINOIS,93.1,2007
INDIANA,90.4,2007
IOWA,93,2007
KANSAS,93.1,2007
KENTUCKY,90.8,2007
LOUISIANA,92.9,2007
MAINE,90.2,2007
MARYLAND,97.1,2007
MASSACHUSETTS,93.3,2007
MICHIGAN,89.5,2007
MINNESOTA,94.9,2007
MISSISSIPPI,87.2,2007
MISSOURI,89,2007
MONTANA,89.6,2007
NEBRASKA,94,2007
NEVADA,86.3,2007
NEW HAMPSHIRE,96.6,2007
NEW JERSEY,91.2,2007
NEW MEXICO,90.6,2007
NEW YORK,93.6,2007
NORTH CAROLINA,96.9,2007
NORTH DAKOTA,95.2,2007
OHIO,90.7,2007
OKLAHOMA,89.9,2007
OREGON,88.9,2007
PENNSYLVANIA,93.8,2007
RHODE ISLAND,94.7,2007
SOUTH CAROLINA,92.5,2007
SOUTH DAKOTA,95,2007
TENNESSEE,94.5,2007
TEXAS,90.4,2007
UTAH,90.9,2007
VERMONT,93.6,2007
VIRGINIA,90.9,2007
WASHINGTON,90.5,2007
WEST VIRGINIA,96.2,2007
WISCONSIN,91.4,2007
WYOMING,87.5,2007
ALABAMA,93.6,2008
ALASKA,88.4,2008
ARIZONA,92.2,2008
ARKANSAS,92.2,2008
CALIFORNIA,92.7,2008
COLORADO,92.3,2008
CONNECTICUT,95.3,2008
DELAWARE,93.1,2008
DISTRICT OF COLUMBIA,89.7,2008
FLORIDA,91.7,2008
GEORGIA,92.7,2008
HAWAII,94.8,2008
IDAHO,86.1,2008
ILLINOIS,91,2008
INDIANA,88,2008
IOWA,91.4,2008
KANSAS,91.9,2008
KENTUCKY,90.2,2008
LOUISIANA,94.2,2008
MAINE,91.8,2008
MARYLAND,94.5,2008
MASSACHUSETTS,94.4,2008
MICHIGAN,88.1,2008
MINNESOTA,91.8,2008
MISSISSIPPI,89.3,2008
MISSOURI,91.7,2008
MONTANA,85.9,2008
NEBRASKA,91.9,2008
NEVADA,88,2008
NEW HAMPSHIRE,94.8,2008
NEW JERSEY,89.9,2008
NEW MEXICO,90.6,2008
NEW YORK,92.2,2008
NORTH CAROLINA,92.2,2008
NORTH DAKOTA,90.6,2008
OHIO,93.9,2008
OKLAHOMA,92.3,2008
OREGON,92,2008
PENNSYLVANIA,92.2,2008
RHODE ISLAND,93.7,2008
SOUTH CAROLINA,88.5,2008
SOUTH DAKOTA,93.7,2008
TENNESSEE,95.6,2008
TEXAS,93.7,2008
UTAH,90.8,2008
VERMONT,88.1,2008
VIRGINIA,92.3,2008
WASHINGTON,91.2,2008
WEST VIRGINIA,88.3,2008
WISCONSIN,94.3,2008
WYOMING,87.6,2008
ALABAMA,95.4,2009
ALASKA,85.2,2009
ARIZONA,90.8,2009
ARKANSAS,81.8,2009
CALIFORNIA,89.8,2009
COLORADO,83.6,2009
CONNECTICUT,93.7,2009
DELAWARE,90.2,2009
DISTRICT OF COLUMBIA,91.2,2009
FLORIDA,91.2,2009
GEORGIA,91.3,2009
HAWAII,86.7,2009
IDAHO,88.1,2009
ILLINOIS,88.2,2009
INDIANA,86.6,2009
IOWA,93.2,2009
KANSAS,92.5,2009
KENTUCKY,88.9,2009
LOUISIANA,94.4,2009
MAINE,91.4,2009
MARYLAND,89.7,2009
MASSACHUSETTS,93.7,2009
